abootbak mmcblk0p20
aboot mmcblk0p19
apdp mmcblk0p26
blog mmcblk0p4
boot mmcblk0p11
cache mmcblk0p44
checksum mmcblk0p29
cmnlibbak mmcblk0p14
cmnlib mmcblk0p13
config mmcblk0p31
DDR mmcblk0p6
devcfg mmcblk0p25
devinfo mmcblk0p12
frp mmcblk0p32
fsc mmcblk0p36
fsg mmcblk0p7
keymasterbak mmcblk0p16
keymaster mmcblk0p15
keystore mmcblk0p38
misc mmcblk0p35
modem mmcblk0p9
modemst1 mmcblk0p33
modemst2 mmcblk0p34
oem mmcblk0p42
oempersist mmcblk0p41
padding0 mmcblk0p1
padding1 mmcblk0p5
padding2 mmcblk0p30
pad mmcblk0p27
persist mmcblk0p40
recovery mmcblk0p39
rpmbak mmcblk0p22
rpm mmcblk0p21
sbl1bak mmcblk0p18
sbl1 mmcblk0p17
sec mmcblk0p10
splash mmcblk0p28
ssd mmcblk0p37
system mmcblk0p43
token mmcblk0p3
traceability mmcblk0p2
tunning mmcblk0p8
tzbak mmcblk0p24
tz mmcblk0p23
userdata mmcblk0p45
